actor_1_name,actor_1_facebook_likes
CCH Pounder,1000
Johnny Depp,40000
Christoph Waltz,11000
Tom Hardy,27000
Doug Walker,131
Daryl Sabara,640
J.K. Simmons,24000
Brad Garrett,799
Chris Hemsworth,26000
Alan Rickman,25000
Henry Cavill,15000
Kevin Spacey,18000
Giancarlo Giannini,451
Peter Dinklage,22000
Will Smith,10000
Aidan Turner,5000
Emma Stone,15000
Mark Addy,891
Christopher Lee,16000
Naomi Watts,6000
Leonardo DiCaprio,29000
Robert Downey Jr.,21000
Liam Neeson,14000
Bryce Dallas Howard,3000
Albert Finney,883
Hugh Jackman,20000
Steve Buscemi,12000
Glenn Morshower,894
Bingbing Li,974
Tim Holmes,44000
Jeff Bridges,12000
Joe Mantegna,1000
Ryan Reynolds,16000
Tom Hanks,15000
Christian Bale,23000
Jason Statham,26000
Peter Capaldi,17000
Jennifer Lawrence,34000
Benedict Cumberbatch,19000
Eddie Marsan,979
Jake Gyllenhaal,15000
Charlie Hunnam,16000
Harrison Ford,11000
A.J. Buckley,275
Kelly Macdonald,2000
Sofia Boutella,998
John Ratzenberger,1000
Tzi Ma,268
Oliver Platt,1000
Robin Wright,18000
Channing Tatum,17000
Jim Broadbent,1000
Amy Poehler,1000
Chloë Grace Moretz,17000
Jet Li,5000
Jimmy Bennett,87000
Tom Cruise,10000
Jeanne Tripplehorn,711
Joseph Gordon-Levitt,23000
Scarlett Johansson,19000
Angelina Jolie Pitt,11000
Gary Oldman,10000
Tamsin Egerton,622
Keanu Reeves,18000
Jon Hamm,4000
Judy Greer,2000
Damon Wayans Jr.,756
Jack McBrayer,975
Vivica A. Fox,890
Gerard Butler,18000
Nick Stahl,648
Bradley Cooper,14000
Matthew McConaughey,11000
Mark Chinnery,544
Paul Walker,23000
Brad Pitt,11000
Nicolas Cage,12000
Justin Timberlake,3000
Dominic Cooper,3000
Bruce Spence,531
Jennifer Garner,3000
Zack Ward,662
Anthony Hopkins,12000
Robert Pattinson,21000
Janeane Garofalo,1000
Bernie Mac,1000
Robin Williams,49000
Essie Davis,309
